Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
0.425,0.837,2.0,-5.563,0.0,0.0379,0.000383,0.00341,0.38,0.312,98.026,celticmetal
0.353,0.96,7.0,-5.588,1.0,0.227,6.17e-05,0.000371,0.926,0.267,180.061,celticmetal
0.256,0.979,7.0,-4.079,1.0,0.122,0.0883,0.0434,0.545,0.171,135.035,celticmetal
0.547,0.919,2.0,-5.788,1.0,0.0605,0.000233,0.013,0.0283,0.483,107.976,celticmetal
0.49,0.869,5.0,-4.547,0.0,0.0415,0.000739,0.0268,0.15,0.19,75.028,celticmetal
0.227,0.782,2.0,-4.547,1.0,0.0547,0.000128,0.134,0.289,0.763,183.743,celticmetal
0.259,0.872,2.0,-5.469,0.0,0.0477,0.000308,0.544,0.0957,0.503,98.501,celticmetal
0.51,0.962,5.0,-4.929,0.0,0.113,0.000295,0.126,0.0819,0.36,110.038,celticmetal
0.271,0.94,2.0,-6.14,1.0,0.128,0.000384,0.505,0.283,0.0622,169.987,celticmetal
0.335,0.992,7.0,-3.034,1.0,0.178,0.000136,0.549,0.0587,0.333,199.948,celticmetal
0.444,0.866,2.0,-7.472,0.0,0.0448,2.19e-05,0.539,0.135,0.343,109.854,celticmetal
0.347,0.633,0.0,-6.837,1.0,0.0544,0.133,1.6e-05,0.639,0.338,159.931,celticmetal
0.101,0.958,9.0,-3.447,0.0,0.16,0.000563,0.00319,0.0769,0.124,74.873,celticmetal
0.411,0.886,0.0,-4.715,0.0,0.0357,0.00133,0.68,0.0887,0.486,93.964,celticmetal
0.522,0.972,2.0,-3.08,1.0,0.0482,2.92e-05,0.337,0.232,0.799,141.972,celticmetal
0.533,0.622,8.0,-8.348,0.0,0.0332,0.0261,0.649,0.115,0.219,112.018,celticmetal
0.496,0.964,0.0,-4.443,1.0,0.126,2.7e-06,0.859,0.265,0.0909,101.551,celticmetal
0.484,0.943,9.0,-6.838,0.0,0.0634,0.0027,0.548,0.127,0.0612,98.034,celticmetal
0.5,0.88,1.0,-5.201,0.0,0.0429,4.07e-05,0.435,0.102,0.511,145.008,celticmetal
0.57,0.949,4.0,-3.201,0.0,0.0737,0.0859,0.0,0.213,0.623,123.321,celticmetal
0.506,0.986,9.0,-3.756,0.0,0.051,2.31e-05,0.0176,0.059,0.469,113.985,celticmetal
0.576,0.862,6.0,-5.325,0.0,0.0345,0.000293,0.0408,0.223,0.481,114.981,celticmetal
0.53,0.917,10.0,-5.233,0.0,0.0719,0.000288,0.0632,0.201,0.18,104.969,celticmetal
0.193,0.96,10.0,-6.653,1.0,0.116,4.77e-06,0.868,0.371,0.525,160.13,celticmetal
0.327,0.29,7.0,-11.482,0.0,0.0415,0.534,0.000397,0.147,0.243,179.108,celticmetal
0.439,0.917,9.0,-5.183,1.0,0.0434,6.09e-05,0.0377,0.117,0.388,158.019,celticmetal
0.469,0.743,1.0,-5.57,0.0,0.0272,0.00222,0.000111,0.276,0.481,86.953,celticmetal
0.541,0.912,0.0,-5.491,1.0,0.0455,9.26e-05,0.00518,0.168,0.139,120.05,celticmetal
0.203,0.988,4.0,-4.623,0.0,0.194,0.000108,0.677,0.323,0.0579,117.42,celticmetal
0.339,0.957,0.0,-5.787,1.0,0.177,0.000238,0.311,0.101,0.107,153.526,celticmetal
0.429,0.961,11.0,-4.693,0.0,0.123,0.000992,0.0117,0.0694,0.074,121.965,celticmetal
0.504,0.947,7.0,-4.73,0.0,0.0567,0.000129,0.00115,0.084,0.188,100.988,celticmetal
0.274,0.882,2.0,-6.308,1.0,0.079,0.00215,0.0908,0.104,0.102,109.947,celticmetal
0.224,0.987,0.0,-5.035,1.0,0.142,5.93e-05,0.563,0.323,0.243,99.968,celticmetal
0.41,0.925,1.0,-6.183,0.0,0.0623,4.43e-06,0.648,0.329,0.409,81.543,celticmetal
0.429,0.947,6.0,-5.452,0.0,0.0797,0.00187,0.269,0.871,0.184,120.024,celticmetal
0.534,0.972,0.0,-4.309,1.0,0.0372,4.48e-05,0.626,0.308,0.943,130.023,celticmetal
0.411,0.701,7.0,-11.183,1.0,0.0376,0.0658,0.896,0.109,0.268,134.04,celticmetal
0.471,0.803,2.0,-5.993,1.0,0.0318,0.000828,0.000303,0.196,0.134,82.983,celticmetal
0.544,0.956,7.0,-4.066,0.0,0.0356,0.000824,3.9e-05,0.197,0.263,106.996,celticmetal
0.335,0.992,7.0,-3.034,1.0,0.178,0.000136,0.549,0.0587,0.333,199.948,celticmetal
0.474,0.991,0.0,-2.364,0.0,0.0564,0.000228,0.0135,0.219,0.283,95.01,celticmetal
0.466,0.986,9.0,-3.855,0.0,0.0499,0.00462,0.000531,0.218,0.888,150.089,celticmetal
0.43,0.934,0.0,-6.107,1.0,0.0862,1.78e-06,0.502,0.355,0.449,94.99,celticmetal
0.512,0.943,1.0,-3.612,0.0,0.036,0.0103,8.32e-06,0.116,0.83,150.078,celticmetal
0.404,0.975,10.0,-3.981,1.0,0.098,0.000727,0.000705,0.15,0.532,169.929,celticmetal
0.315,0.989,7.0,-4.574,1.0,0.12,2.92e-05,0.000182,0.0867,0.51,180.243,celticmetal
0.185,0.923,2.0,-5.074,0.0,0.0874,0.000223,0.571,0.0951,0.0731,104.881,celticmetal
0.499,0.725,4.0,-9.077,1.0,0.0535,0.247,0.938,0.117,0.181,117.994,celticmetal
0.603,0.969,9.0,-6.911,0.0,0.057,0.0191,0.462,0.17,0.357,160.018,celticmetal
0.374,0.92,6.0,-4.653,1.0,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,celticmetal
0.19,0.826,8.0,-10.051,1.0,0.0565,2.75e-05,0.38,0.13,0.123,94.976,celticmetal
0.353,0.96,7.0,-5.588,1.0,0.227,6.17e-05,0.000371,0.926,0.267,180.061,celticmetal
0.509,0.855,8.0,-4.567,1.0,0.046,3.72e-05,5.87e-05,0.0808,0.804,160.051,celticmetal
0.32,0.954,7.0,-5.965,1.0,0.126,7.83e-06,0.733,0.159,0.494,200.075,celticmetal
0.39,0.828,6.0,-8.119,0.0,0.0804,0.000175,0.537,0.157,0.21,114.898,celticmetal
0.392,0.996,11.0,-3.082,0.0,0.0883,8.2e-05,0.00313,0.319,0.0374,94.925,celticmetal
0.43,0.991,2.0,-2.837,0.0,0.0916,0.000343,0.00249,0.416,0.276,107.031,celticmetal
0.459,0.995,0.0,-3.122,1.0,0.0938,0.000166,0.000356,0.403,0.0448,110.103,celticmetal
0.457,0.998,11.0,-3.23,0.0,0.186,5.13e-05,0.000323,0.405,0.0381,118.044,celticmetal
0.443,0.991,11.0,-3.619,0.0,0.143,6.06e-05,0.000195,0.072,0.0617,110.022,celticmetal
0.442,0.959,10.0,-3.201,0.0,0.0607,0.00118,0.0,0.329,0.362,90.012,celticmetal
0.431,0.996,11.0,-2.705,0.0,0.147,7.15e-05,7.99e-05,0.13,0.063,114.984,celticmetal
0.45,0.994,9.0,-3.673,0.0,0.161,1.64e-05,0.0761,0.0843,0.0717,108.756,celticmetal
0.41,0.978,0.0,-4.192,1.0,0.0843,4.52e-05,0.182,0.103,0.0392,95.017,celticmetal
0.17,0.18,0.0,-8.141,1.0,0.0488,7.55e-05,0.988,0.157,0.0299,117.302,celticmetal
0.407,0.903,0.0,-3.408,0.0,0.0512,0.00769,3.42e-05,0.11,0.502,179.987,celticmetal
0.352,0.748,9.0,-2.335,0.0,0.0894,1.48e-05,0.982,0.284,0.136,119.919,celticmetal
0.277,0.936,7.0,-4.689,0.0,0.0544,4.48e-05,0.0451,0.0983,0.0376,89.994,celticmetal
0.239,0.642,2.0,-10.497,1.0,0.0413,0.45,0.966,0.122,0.102,80.163,celticmetal
0.485,0.968,9.0,-3.458,0.0,0.0785,0.00826,0.0851,0.27,0.285,120.02,celticmetal
0.542,0.94,2.0,-2.43,0.0,0.0442,0.0011,0.0,0.435,0.138,129.98,celticmetal
0.208,0.769,7.0,-4.749,1.0,0.041,0.000979,0.976,0.111,0.0314,85.1,celticmetal
0.15,0.741,0.0,-6.097,1.0,0.044,2.42e-05,0.0058,0.65,0.0369,155.225,celticmetal
0.195,0.26,4.0,-16.213,0.0,0.0383,0.0168,0.00514,0.168,0.0396,92.917,celticmetal
0.454,0.996,2.0,-3.197,1.0,0.0964,0.000698,0.643,0.354,0.197,110.019,celticmetal
0.521,0.988,7.0,-2.776,0.0,0.0756,0.0637,0.0858,0.166,0.389,124.994,celticmetal
0.486,0.993,7.0,-3.942,1.0,0.0662,0.00254,0.0038,0.306,0.229,115.033,celticmetal
0.471,0.966,3.0,-3.835,0.0,0.0529,0.011,0.245,0.276,0.543,85.029,celticmetal
0.495,0.995,6.0,-3.619,0.0,0.173,0.00108,0.000147,0.377,0.085,117.976,celticmetal
0.487,0.98,3.0,-4.342,0.0,0.0742,0.0484,0.00261,0.186,0.185,110.013,celticmetal
0.268,0.995,11.0,-4.582,0.0,0.14,0.00118,0.0359,0.537,0.0393,109.946,celticmetal
0.476,0.924,7.0,-3.905,1.0,0.0467,0.00153,0.0514,0.28,0.576,114.957,celticmetal
0.229,0.994,4.0,-3.24,0.0,0.147,0.00246,0.00059,0.416,0.0778,139.857,celticmetal
0.48,0.979,6.0,-2.845,1.0,0.0598,0.0413,0.0174,0.636,0.347,99.998,celticmetal
0.559,0.882,2.0,-13.571,1.0,0.879,0.366,0.0,0.896,0.114,119.053,celticmetal
0.521,0.998,2.0,-1.814,0.0,0.144,0.000534,4.16e-05,0.377,0.206,110.008,celticmetal
0.284,0.974,2.0,-2.409,0.0,0.107,0.0246,0.0,0.129,0.302,105.287,celticmetal
0.495,0.995,9.0,-2.393,1.0,0.162,0.000111,0.0,0.345,0.0685,105.038,celticmetal
0.228,0.987,1.0,-1.976,0.0,0.125,0.000118,3.39e-05,0.269,0.424,102.45,celticmetal
0.15,0.31,11.0,-7.238,1.0,0.0363,0.676,0.0,0.496,0.206,82.105,celticmetal
0.509,0.996,3.0,-2.542,0.0,0.162,0.00143,0.000336,0.372,0.134,114.99,celticmetal
0.542,0.996,6.0,-1.806,1.0,0.104,0.000881,0.0,0.379,0.171,110.032,celticmetal
0.48,0.969,11.0,-2.742,0.0,0.0964,0.0259,0.0,0.0632,0.157,100.057,celticmetal
0.445,0.978,9.0,-2.187,1.0,0.102,6.99e-05,0.00114,0.1,0.133,140.023,celticmetal
0.534,0.994,1.0,-2.869,0.0,0.215,0.000304,0.000773,0.329,0.158,109.996,celticmetal
0.472,0.367,1.0,-10.13,0.0,0.0296,0.923,0.444,0.183,0.809,139.955,celticmetal
0.575,0.997,1.0,-1.995,0.0,0.147,0.003,3.62e-05,0.336,0.322,114.997,celticmetal
0.539,0.923,4.0,-3.156,0.0,0.0824,0.0538,0.0,0.376,0.128,110.037,celticmetal
0.514,0.412,4.0,-11.406,1.0,0.0466,0.919,0.000704,0.12,0.0,106.906,celticmetal
0.532,0.998,11.0,-1.77,0.0,0.113,0.000258,0.000725,0.348,0.118,105.025,celticmetal
0.152,0.74,5.0,-9.728,1.0,0.109,0.285,0.467,0.202,0.387,81.375,celticmetal
0.313,0.831,2.0,-7.417,0.0,0.101,0.00333,5.14e-05,0.541,0.181,89.921,celticmetal
0.544,0.956,7.0,-4.066,0.0,0.0356,0.000824,3.9e-05,0.197,0.263,106.996,celticmetal
0.166,0.3,1.0,-12.483,0.0,0.0411,0.321,0.91,0.47,0.0521,126.549,celticmetal
0.487,0.971,1.0,-4.231,0.0,0.0801,4.9e-05,0.059,0.506,0.4,120.02,celticmetal
0.334,0.946,11.0,-4.225,0.0,0.156,0.000304,0.000574,0.35,0.179,180.035,celticmetal
0.333,0.625,4.0,-5.228,0.0,0.0342,0.000228,0.00367,0.319,0.206,93.994,celticmetal
0.373,0.942,0.0,-5.743,1.0,0.0938,0.000468,0.933,0.703,0.129,105.195,celticmetal
0.435,0.897,5.0,-5.217,0.0,0.0459,0.00401,0.00296,0.658,0.149,100.013,celticmetal
0.402,0.985,4.0,-4.943,0.0,0.0938,0.000236,0.000267,0.255,0.103,104.885,celticmetal
0.24,0.683,9.0,-7.427,0.0,0.0475,0.066,0.00441,0.604,0.251,142.261,celticmetal
0.446,0.994,1.0,-3.881,0.0,0.115,1.33e-05,0.16,0.433,0.0776,114.978,celticmetal
0.21,0.971,0.0,-4.495,1.0,0.107,0.000454,0.0269,0.13,0.11,139.636,celticmetal
0.457,0.918,4.0,-5.189,0.0,0.0768,0.0361,3.74e-06,0.44,0.246,100.05,celticmetal
0.431,0.97,11.0,-4.697,0.0,0.0886,8.84e-05,0.0604,0.331,0.177,118.019,celticmetal
0.164,0.95,11.0,-5.005,0.0,0.112,0.000525,0.142,0.347,0.104,180.874,celticmetal
0.453,0.935,2.0,-4.564,0.0,0.0913,2.09e-05,0.866,0.146,0.536,120.07,celticmetal
0.544,0.956,7.0,-4.066,0.0,0.0356,0.000824,3.9e-05,0.197,0.263,106.996,celticmetal
0.373,0.942,0.0,-5.743,1.0,0.0938,0.000468,0.933,0.703,0.129,105.195,celticmetal
0.21,0.971,0.0,-4.495,1.0,0.107,0.000454,0.0269,0.13,0.11,139.636,celticmetal
0.284,0.974,2.0,-2.409,0.0,0.107,0.0246,0.0,0.129,0.302,105.287,celticmetal
0.509,0.996,3.0,-2.542,0.0,0.162,0.00143,0.000336,0.372,0.134,114.99,celticmetal
0.48,0.969,11.0,-2.742,0.0,0.0964,0.0259,0.0,0.0632,0.157,100.057,celticmetal
0.195,0.26,4.0,-16.213,0.0,0.0383,0.0168,0.00514,0.168,0.0396,92.917,celticmetal
0.454,0.996,2.0,-3.197,1.0,0.0964,0.000698,0.643,0.354,0.197,110.019,celticmetal
